,meter,date_time,consumption,max_demand,min_demand,avg_demand
0,1-013,05/24/2019 12:45:00 PM,0.0,0.0,0.0,0.0
1,1-013,05/24/2019 01:00:00 PM,0.0,0.0,0.0,0.0
2,1-013,05/24/2019 01:15:00 PM,0.0,0.0,0.0,0.0
3,1-013,05/24/2019 01:30:00 PM,0.0,0.0,0.0,0.0
4,1-013,05/24/2019 01:45:00 PM,0.0,0.0,0.0,0.0
5,1-013,05/24/2019 02:00:00 PM,0.0,0.0,0.0,0.0
6,1-013,05/24/2019 02:15:00 PM,0.0,0.0,0.0,0.0
7,1-013,05/24/2019 02:30:00 PM,0.0,0.0,0.0,0.0
8,1-013,05/24/2019 02:45:00 PM,0.0,0.0,0.0,0.0
9,1-013,05/24/2019 03:00:00 PM,0.0,0.0,0.0,0.0
10,1-013,05/24/2019 03:15:00 PM,0.0,0.0,0.0,0.0
11,1-013,05/24/2019 03:30:00 PM,0.0,0.0,0.0,0.0
12,1-013,05/24/2019 03:45:00 PM,0.0,0.0,0.0,0.0
13,1-013,05/24/2019 04:00:00 PM,0.0,0.0,0.0,0.0
14,1-013,05/24/2019 04:15:00 PM,0.0,0.0,0.0,0.0
15,1-013,05/24/2019 04:30:00 PM,0.0,0.0,0.0,0.0
16,1-013,05/24/2019 04:45:00 PM,0.0,0.0,0.0,0.0
17,1-013,05/24/2019 05:00:00 PM,0.0,0.0,0.0,0.0
18,1-013,05/24/2019 05:15:00 PM,0.0,0.0,0.0,0.0
19,1-013,05/24/2019 05:30:00 PM,0.0,0.0,0.0,0.0
20,1-013,05/24/2019 05:45:00 PM,0.0,0.0,0.0,0.0
21,1-013,05/24/2019 06:00:00 PM,0.0,0.0,0.0,0.0
22,1-013,05/24/2019 06:15:00 PM,0.0,0.0,0.0,0.0
23,1-013,05/24/2019 06:30:00 PM,0.0,0.0,0.0,0.0
24,1-013,05/24/2019 06:45:00 PM,0.0,0.0,0.0,0.0
